Time,Depth(m),Temperature(C),Altitude,Pressure
19:17:09,YAY Time : 1740770229.124253
19:17:09,YAY Time : 1740770229.3249898
19:17:09,YAY Time : 1740770229.526957
19:17:09,YAY Time : 1740770229.7296855
19:17:09,YAY Time : 1740770229.9322772
19:17:10,YAY Time : 1740770230.13283
19:17:10,YAY Time : 1740770230.3342352
19:17:10,YAY Time : 1740770230.5363169
19:17:10,YAY Time : 1740770230.738269
19:17:10,YAY Time : 1740770230.9449487
19:17:11,YAY Time : 1740770231.1520672
19:17:11,YAY Time : 1740770231.3545432
19:17:11,YAY Time : 1740770231.5561306
19:17:11,YAY Time : 1740770231.757928
19:17:11,YAY Time : 1740770231.9590197
19:17:12,YAY Time : 1740770232.160165
19:17:12,YAY Time : 1740770232.3609803
19:17:12,YAY Time : 1740770232.562002
19:17:12,YAY Time : 1740770232.7630012
19:17:12,YAY Time : 1740770232.9640076
19:17:13,YAY Time : 1740770233.1653335
19:17:13,YAY Time : 1740770233.3661551
19:17:13,YAY Time : 1740770233.567188
19:17:13,YAY Time : 1740770233.7690322
19:17:13,YAY Time : 1740770233.9702854
19:17:14,YAY Time : 1740770234.170907
19:17:14,YAY Time : 1740770234.3718498
19:17:14,YAY Time : 1740770234.5730762
19:17:14,YAY Time : 1740770234.7784493
19:17:14,YAY Time : 1740770234.9801195
19:17:15,YAY Time : 1740770235.1813817
19:17:15,YAY Time : 1740770235.3819435
19:17:15,YAY Time : 1740770235.5832562
19:17:15,YAY Time : 1740770235.7864852
19:17:15,YAY Time : 1740770235.9869752
19:17:16,YAY Time : 1740770236.1880264
19:17:16,YAY Time : 1740770236.389105
19:17:16,YAY Time : 1740770236.5900183
19:17:16,YAY Time : 1740770236.7908924
19:17:16,YAY Time : 1740770236.991991
19:17:17,YAY Time : 1740770237.1932704
19:17:17,YAY Time : 1740770237.3938885
19:17:17,YAY Time : 1740770237.5955207
19:17:17,YAY Time : 1740770237.8060863
19:17:18,YAY Time : 1740770238.0088305
19:17:18,YAY Time : 1740770238.2104645
19:17:18,YAY Time : 1740770238.4119446
19:17:18,YAY Time : 1740770238.6141803
19:17:18,YAY Time : 1740770238.814858
19:17:19,YAY Time : 1740770239.0165327
19:17:19,YAY Time : 1740770239.2179785
19:17:19,YAY Time : 1740770239.4200377
19:17:19,YAY Time : 1740770239.6211073
19:17:19,YAY Time : 1740770239.8254192
19:17:20,YAY Time : 1740770240.0269296
19:17:20,YAY Time : 1740770240.2283
19:17:20,YAY Time : 1740770240.4299207
19:17:20,YAY Time : 1740770240.6312106
19:17:20,YAY Time : 1740770240.8343294
19:17:21,YAY Time : 1740770241.0352907
19:17:21,YAY Time : 1740770241.23679
19:17:21,YAY Time : 1740770241.4391212
19:17:21,YAY Time : 1740770241.640175
19:17:21,YAY Time : 1740770241.8435094
19:17:22,YAY Time : 1740770242.045938
19:17:22,YAY Time : 1740770242.2470396
19:17:22,YAY Time : 1740770242.4480305
19:17:22,YAY Time : 1740770242.6498146
19:17:22,YAY Time : 1740770242.850967
19:17:23,YAY Time : 1740770243.0517814
19:17:23,YAY Time : 1740770243.2528102
19:17:23,YAY Time : 1740770243.4537928
19:17:23,YAY Time : 1740770243.6548083
19:17:23,YAY Time : 1740770243.8558269
19:17:24,YAY Time : 1740770244.0567887
19:17:24,YAY Time : 1740770244.2582154
19:17:24,YAY Time : 1740770244.4590428
19:17:24,YAY Time : 1740770244.6599889
19:17:24,YAY Time : 1740770244.8609986
19:17:25,YAY Time : 1740770245.0620065
19:17:25,YAY Time : 1740770245.2628345
19:17:25,YAY Time : 1740770245.4645169
19:17:25,YAY Time : 1740770245.6648364
19:17:25,YAY Time : 1740770245.865849
19:17:26,YAY Time : 1740770246.0668283
19:17:26,YAY Time : 1740770246.2678895
19:17:26,YAY Time : 1740770246.46889
19:17:26,YAY Time : 1740770246.6707754
19:17:26,YAY Time : 1740770246.8718462
19:17:27,YAY Time : 1740770247.0733008
19:17:27,YAY Time : 1740770247.2748153
19:17:27,YAY Time : 1740770247.4759011
19:17:27,YAY Time : 1740770247.6775322
19:17:27,YAY Time : 1740770247.8788261
19:17:28,YAY Time : 1740770248.0802996
19:17:28,YAY Time : 1740770248.2823572
19:17:28,YAY Time : 1740770248.4838765
19:17:28,YAY Time : 1740770248.6852832
19:17:28,YAY Time : 1740770248.886131
19:17:29,YAY Time : 1740770249.0868032
19:17:29,YAY Time : 1740770249.2879877
19:17:29,YAY Time : 1740770249.4888072
19:17:29,YAY Time : 1740770249.6900096
19:17:29,YAY Time : 1740770249.89113
19:17:30,YAY Time : 1740770250.0918522
19:17:30,YAY Time : 1740770250.293256
19:17:30,YAY Time : 1740770250.4942749
19:17:30,YAY Time : 1740770250.6963208
19:17:30,YAY Time : 1740770250.8973272
19:17:31,YAY Time : 1740770251.0987988
19:17:31,YAY Time : 1740770251.2998421
19:17:31,YAY Time : 1740770251.5010543
19:17:31,YAY Time : 1740770251.7023077
19:17:31,YAY Time : 1740770251.9038236
19:17:32,YAY Time : 1740770252.1048448
19:17:32,YAY Time : 1740770252.306221
19:17:32,YAY Time : 1740770252.5075169
19:17:32,YAY Time : 1740770252.70949
19:17:32,YAY Time : 1740770252.9108002
19:17:33,YAY Time : 1740770253.1134336
19:17:33,YAY Time : 1740770253.3152475
19:17:33,YAY Time : 1740770253.516612
19:17:33,YAY Time : 1740770253.7178683
19:17:33,YAY Time : 1740770253.9193733
19:17:34,YAY Time : 1740770254.1212754
19:17:34,YAY Time : 1740770254.3249407
19:17:34,YAY Time : 1740770254.5321252
